"filename", "language", "PHP", "HTML", "Batch", "JSON", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\ShippingRate.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 21, 7, 42
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Sigma\ScheduledQueryRun.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 20, 6, 38
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\SingletonApiResource.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 6, 32
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Source.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 81, 20, 160
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\SourceTransaction.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 12, 3, 21
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Stripe.php", "PHP", 125, 0, 0, 0, 0, 0, 0, 110, 44, 279
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\StripeClient.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 65, 6, 84
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\StripeClientInterface.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 13, 3, 22
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\StripeObject.php", "PHP", 330, 0, 0, 0, 0, 0, 0, 216, 64, 610
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\StripeStreamingClientInterface.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 3, 12
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Subscription.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 84, 19, 168
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\SubscriptionItem.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 34, 9, 65
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\SubscriptionSchedule.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 44, 9, 77
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\TaxCode.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\TaxId.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 28, 12, 126
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\TaxRate.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 27, 6, 53
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Terminal\Configuration.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 13, 5, 29
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Terminal\ConnectionToken.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 11, 5, 23
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Terminal\Location.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 15, 5, 31
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Terminal\Reader.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 61, 15, 122
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\TestHelpers\TestClock.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 26, 8, 54
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Token.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 40, 6, 58
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Topup.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 34, 8, 64
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Transfer.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 71, 11, 113
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\TransferReversal.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 40, 9, 80
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\CreditReversal.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 22, 7, 43
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\DebitReversal.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 23, 7, 44
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\FinancialAccount.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 39, 10, 76
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\FinancialAccountFeatures.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 15, 4, 25
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\InboundTransfer.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 38, 8, 66
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\OutboundPayment.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 41, 8, 70
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\OutboundTransfer.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 41, 8, 70
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\ReceivedCredit.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 24, 8, 49
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\ReceivedDebit.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 23, 8, 48
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\Transaction.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 22, 7, 49
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Treasury\TransactionEntry.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 19, 7, 63
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\UsageRecord.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 16, 4, 26
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\UsageRecordSummary.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\ApiVersion.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\CaseInsensitiveArray.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 28, 14, 97
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\DefaultLogger.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 6, 6, 30
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\LoggerInterface.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 26, 3, 35
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\ObjectTypes.php", "PHP", 111, 0, 0, 0, 0, 0, 0, 4, 4, 119
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\RandomGenerator.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 16, 5, 37
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\RequestOptions.php", "PHP", 111, 0, 0, 0, 0, 0, 0, 37, 26, 174
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\Set.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 3, 10, 49
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Util\Util.php", "PHP", 158, 0, 0, 0, 0, 0, 0, 71, 37, 266
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\Webhook.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 18, 7, 43
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\WebhookEndpoint.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 26, 5, 42
"c:\xampp\htdocs\mvc\app\library\stripe\vendor\stripe\stripe-php\lib\WebhookSignature.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 46, 16, 141
"c:\xampp\htdocs\mvc\app\library\vendor\autoload.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\mvc\app\library\vendor\composer\ClassLoader.php", "PHP", 276, 0, 0, 0, 0, 0, 0, 240, 57, 573
"c:\xampp\htdocs\mvc\app\library\vendor\composer\InstalledVersions.php", "PHP", 174, 0, 0, 0, 0, 0, 0, 131, 48, 353
"c:\xampp\htdocs\mvc\app\library\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\mvc\app\library\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\mvc\app\library\vendor\composer\autoload_psr4.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\mvc\app\library\vendor\composer\autoload_real.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 4, 10, 39
"c:\xampp\htdocs\mvc\app\library\vendor\composer\autoload_static.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\mvc\app\library\vendor\composer\installed.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 1, 88
"c:\xampp\htdocs\mvc\app\library\vendor\composer\installed.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\mvc\app\library\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 0, 0, 0, 167, 0, 0, 0, 64, 231
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 19, 38
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 0, 76, 0, 0, 0, 0, 1, 77
"c:\xampp\htdocs\mvc\app\library\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 47, 17, 163
